"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.0566,-0.0138,-0.0076,-0.0181,0.0123,-0.0053,-0.0041,-0.0067,-0.0074,0.0062,-0.001
0.0183,0.0026,-0.0017,-0.0147,-0.0023,0.0081,-0.0036,-0.0092,0.0026,-0.002,-0.001
-0.0368,0.0245,0.0137,-0.0339,0.002,-0.0093,-0.0108,0.0093,-0.0061,-0.0057,-0.001
0.0061,0.0094,0.0084,-0.011,-0.0034,-0.011,0.0045,-0.0164,-0.0047,0.0021,-0.001
0.0594,-0.0085,-0.0064,-0.003,-0.0054,0.0055,0.0059,0.0021,-0.0036,0.0013,-0.001
0.0072,-0.0245,-0.0146,0.022,-0.0032,-0.0015,-0.0066,-0.0129,-0.0033,0.0021,-0.001
-5e-04,-0.0082,-0.0285,0.013,-0.0268,0.0121,0.0062,-0.0141,5e-04,-0.008,-0.001
0.0107,-0.0137,-0.0108,0.0261,0.0023,-0.0024,-0.003,0.0012,-1e-04,0.0013,-0.001
-0.0233,0.001,-0.0274,-0.0152,0.009,0.0067,0,-0.0055,-0.0072,9e-04,-0.001
0.0232,-0.0117,0.0134,-0.029,-0.0079,-0.0025,-0.0041,-0.0065,0.0013,0,-0.001
-0.0211,0.0208,0.0039,0.0199,-0.015,-0.003,-0.0133,-0.0066,-0.0053,0.0021,-0.001
-0.0031,-0.0035,0.0235,0.0101,0.0045,-0.0138,-0.0042,-0.0055,-0.01,-1e-04,-0.001
-0.0088,-0.0346,0.0214,0.0264,-0.0159,0.0178,0.0162,-0.0071,-0.0061,-0.0022,-0.001
-0.0393,0.0204,0.0075,0.0164,-0.0169,-0.0039,0.0043,0.008,0.0026,0,-0.001
-0.0172,-0.0099,0.0157,-0.0358,0.0095,-0.0034,0.0036,0.0113,5e-04,-0.0054,-0.001
-0.0031,-0.0331,-0.0035,-0.0045,-0.0107,0.0065,0.012,0.0077,-0.001,0.0013,-0.001
0.0107,0.0026,-0.0162,0.0082,-9e-04,-0.0079,0.0046,0.0055,0.003,-0.0057,-0.001
0.0421,-0.0376,0.0305,0.0054,0.0133,0.0018,-0.0089,0.0023,3e-04,-0.0057,-0.001
-0.0245,0.0439,0.0115,0.0031,0.0123,-0.0063,-0.0055,0.0019,-0.0061,0.0062,-0.001
-0.0066,-0.0256,-0.0367,-0.0114,0.0048,0.0226,4e-04,-0.0022,-8e-04,0.0021,-0.001
-0.0544,-0.0166,-0.0011,-0.0025,5e-04,-0.0049,-0.0023,-0.0091,0.0026,0.0013,-0.001
-0.0608,0.0144,-0.0295,-0.0017,-0.0149,-0.0166,-7e-04,-0.0065,-0.0068,-0.0054,-0.001
0.0594,0.0278,0.0292,0.0019,0.0116,-0.0085,0.0124,0.0051,0.0103,-0.002,-0.001
-0.0066,-0.0488,0.0173,-0.0043,-0.0038,0.0013,-0.0066,-0.0022,0.0045,-0.0054,-0.001
